,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Emission_Norm,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Seating_Capacity,Seats_Material,Type,Audiosystem,Bluetooth,Boot_Space,Central_Locking,Child_Safety_Locks,Distance_to_Empty,Handbrake,Ventilation_System,Engine_Immobilizer,ABS_(Anti-lock_Braking_System),Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Parking_Assistance,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Kerb_Weight
0,Tata,Nano Genx,Xt,292667,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,23.6,4,180.0,Electric Power,Only Front Windows,No,Remote,374.68,4,Fabric,Manual,CD Player with USB & Aux-in,Yes,110.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,No,Manual Adjustment,660
1,Tata,Nano Genx,Xe,236447,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,23.6,4,180.0,No,No,No,No,374.68,4,Fabric,Manual,No,No,110.0,No,Yes,Yes,Manual,No,No,No,No,No,No,No,No,Manual Adjustment,725
2,Tata,Nano Genx,Emax Xm,296661,624.0,2,BS IV,Injection,15.0,CNG,1652.0,3164.0,1750.0,Hatchback,19.90211704,4,180.0,Electric Power,No,No,No,374.68,4,Fabric,Manual,No,No,110.0,No,Yes,Yes,Manual,Air Conditioning with cooling only,No,No,No,No,No,No,No,Manual Adjustment,710
3,Tata,Nano Genx,Xta,334768,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,21.9,5,180.0,Electric Power,Only Front Windows,No,Remote,374.68,4,Fabric,Automatic,CD Player with USB & Aux-in,Yes,94.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,No,Manual Adjustment,725
4,Tata,Nano Genx,Xm,272223,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,23.6,4,180.0,Electric Power,No,No,No,374.68,4,Fabric,Manual,No,No,110.0,No,Yes,Yes,Manual,Air Conditioning with cooling only,No,No,No,No,No,No,No,Manual Adjustment,725
5,Tata,Nano Genx,Xma,314815,624.0,2,BS IV,Injection,24.0,Petrol,1652.0,3164.0,1750.0,Hatchback,21.9,5,180.0,Electric Power,No,No,No,374.68,4,Fabric,Automatic,No,No,94.0,No,Yes,Yes,Manual,Air Conditioning with cooling only,No,No,Yes,No,No,No,No,Manual Adjustment,710
6,Datsun,Redi-Go,D,279650,799.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,25.17,5,185.0,No,No,No,No,53.244,5,Fabric,Manual,No,No,222.0,No,Yes,Yes,Manual,Yes,Yes,Yes,No,No,No,No,No,Manual Adjustment,990.467868338558
7,Datsun,Redi-Go,T,351832,799.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,25.17,5,185.0,Electric Power,Only Front Windows,No,No,53.244,5,Fabric,Manual,CD Player with USB & Aux-in,No,222.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,No,No,Manual Adjustment,990.467868338558
8,Datsun,Redi-Go,A,333419,799.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,25.17,5,185.0,Electric Power,No,No,No,53.244,5,Fabric,Manual,No,No,222.0,No,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,No,No,Manual Adjustment,990.467868338558
9,Datsun,Redi-Go,S,362000,799.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,25.17,5,185.0,Electric Power,No,No,No,53.244,5,Fabric,Manual,CD Player with USB & Aux-in,No,222.0,No,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,Rear sensors,No,Manual Adjustment,990.467868338558
10,Datsun,Redi-Go,1.0 S,390000,999.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,22.5,5,185.0,Electric Power,No,No,No,67.048,5,Fabric,Manual,CD Player with USB & Aux-in,No,222.0,No,Yes,Yes,Manual,Air Conditioning with cooling only,Yes,No,No,No,No,No,No,Manual Adjustment,990.467868338558
11,Datsun,Redi-Go,1.0 S Amt,437065,999.0,3,BS IV,Injection,28.0,Petrol,1541.0,3429.0,1560.0,Hatchback,23.0,5,185.0,Electric Power,Only Front Windows,No,Yes,67.048,5,Fabric,Automatic,CD Player with USB & Aux-in,No,222.0,Yes,Yes,Yes,Manual,Manual Air conditioning with cooling and heating,Yes,No,No,No,No,Rear sensors,No,Manual Adjustment,990.467868338558
